id;project_no;cis_program_type;proj_eff_date;cust_no;cust_contact_id;proj_name;proj_address;proj_addl_address;proj_city;proj_state;proj_zip_code;proj_county;proj_est_start_date;proj_est_completion_date;proj_est_drawdown_date;proj_cust_int_ind
1;mobile Fish;Home Loan Account Table Computer;2019-12-22T03:47:52;FTP Savings Account;deposit Tasty Metal Bacon Implementation;Chips;Money Market Account;Albania web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;2019-12-21T14:58:27;2019-12-21T17:59:23;2019-12-22T04:04:38;Credit Card Account Table Small Frozen Sausages
2;South Dakota envisioneer Music;Nakfa;2019-12-21T18:37:42;Rubber Buckinghamshire Games;incentivize Tuna copy;Costa Rica Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;2019-12-21T16:10:02;2019-12-21T22:34:05;2019-12-22T01:48:35;back-end
3;Industrial;index orange;2019-12-22T05:03:34;overriding;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland;2019-12-21T18:55:52;2019-12-22T02:31:50;2019-12-22T04:34:55;Intelligent Outdoors
4;Harbor Montana;Corporate Phased relationships;2019-12-21T11:03:32;User-centric;Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;withdrawal;copying;2019-12-21T08:32:05;2019-12-21T21:52:38;2019-12-22T05:01:30;Borders
5;Bedfordshire Bahamian Dollar;24/7;2019-12-21T06:33:44;conglomeration;Oklahoma facilitate;Engineer;Exclusive Moroccan Dirham card;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;2019-12-21T23:22:58;2019-12-21T14:58:02;2019-12-21T13:03:39;navigate
6;Re-contextualized;web-enabled invoice withdrawal;2019-12-21T16:20:00;Licensed hacking installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;2019-12-22T02:57:27;2019-12-21T06:01:20;2019-12-21T07:39:32;Human deposit
7;even-keeled Saint Helena Pound;Internal AI optical;2019-12-21T13:47:00;Unbranded Cheese Dynamic;Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;Fish;payment calculating;local area network Benin;turn-key dedicated;2019-12-21T23:20:10;2019-12-21T15:02:07;2019-12-21T05:50:24;target Human withdrawal
8;dot-com payment Libyan Dinar;white sensor local;2019-12-22T04:36:30;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;compressing;Bedfordshire;Maryland Configuration;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;2019-12-21T08:08:07;2019-12-21T21:27:03;2019-12-21T11:24:49;Belize Dollar Sudanese Pound real-time
9;protocol;open-source HDD;2019-12-21T07:16:28;Avon;Auto Loan Account olive;Yen;Unbranded Fresh Pants Tools California;North Dakota Garden;Towels Specialist;Utah Computers Small Fresh Gloves;Brunei Darussalam interface;compress lavender Investment Account;2019-12-22T03:08:37;2019-12-21T08:59:01;2019-12-22T03:57:06;Iran
10;Philippine Peso Metal;Strategist;2019-12-21T16:48:03;alliance redundant global;bypass Ameliorated;Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;2019-12-22T04:50:47;2019-12-21T20:59:13;2019-12-22T02:24:22;Ergonomic Steel Gloves
